race,driver,quali_pos
Bahrain International Circuit,George Russell,15
Bahrain International Circuit,Pierre Gasly,5
Bahrain International Circuit,Nikita Mazepin,19
Bahrain International Circuit,Mick Schumacher,18
Bahrain International Circuit,Antonio Giovinazzi,12
Bahrain International Circuit,Kimi Räikkönen,14
Bahrain International Circuit,Lance Stroll,10
Bahrain International Circuit,Sebastian Vettel,20
Bahrain International Circuit,Max Verstappen,1
Bahrain International Circuit,Sergio Pérez,0
Bahrain International Circuit,Yuki Tsunoda,13
Bahrain International Circuit,Lewis Hamilton,2
Bahrain International Circuit,Esteban Ocon,16
Bahrain International Circuit,Fernando Alonso,9
Bahrain International Circuit,Charles Leclerc,4
Bahrain International Circuit,Carlos Sainz,8
Bahrain International Circuit,Lando Norris,7
Bahrain International Circuit,Daniel Ricciardo,6
Bahrain International Circuit,Nicholas Latifi,17
Bahrain International Circuit,Valtteri Bottas,3
Autodromo Enzo e Dino Ferrari,George Russell,12
Autodromo Enzo e Dino Ferrari,Pierre Gasly,5
Autodromo Enzo e Dino Ferrari,Nikita Mazepin,19
Autodromo Enzo e Dino Ferrari,Mick Schumacher,18
Autodromo Enzo e Dino Ferrari,Antonio Giovinazzi,17
Autodromo Enzo e Dino Ferrari,Kimi Räikkönen,16
Autodromo Enzo e Dino Ferrari,Lance Stroll,10
Autodromo Enzo e Dino Ferrari,Sebastian Vettel,0
Autodromo Enzo e Dino Ferrari,Max Verstappen,3
Autodromo Enzo e Dino Ferrari,Sergio Pérez,2
Autodromo Enzo e Dino Ferrari,Yuki Tsunoda,20
Autodromo Enzo e Dino Ferrari,Lewis Hamilton,1
Autodromo Enzo e Dino Ferrari,Esteban Ocon,9
Autodromo Enzo e Dino Ferrari,Fernando Alonso,15
Autodromo Enzo e Dino Ferrari,Charles Leclerc,4
Autodromo Enzo e Dino Ferrari,Carlos Sainz,11
Autodromo Enzo e Dino Ferrari,Lando Norris,7
Autodromo Enzo e Dino Ferrari,Daniel Ricciardo,6
Autodromo Enzo e Dino Ferrari,Nicholas Latifi,14
Autodromo Enzo e Dino Ferrari,Valtteri Bottas,8
Autódromo Internacional do Algarve,George Russell,11
Autódromo Internacional do Algarve,Pierre Gasly,9
Autódromo Internacional do Algarve,Nikita Mazepin,20
Autódromo Internacional do Algarve,Mick Schumacher,19
Autódromo Internacional do Algarve,Antonio Giovinazzi,12
Autódromo Internacional do Algarve,Kimi Räikkönen,15
Autódromo Internacional do Algarve,Lance Stroll,17
Autódromo Internacional do Algarve,Sebastian Vettel,10
Autódromo Internacional do Algarve,Max Verstappen,3
Autódromo Internacional do Algarve,Sergio Pérez,4
Autódromo Internacional do Algarve,Yuki Tsunoda,14
Autódromo Internacional do Algarve,Lewis Hamilton,2
Autódromo Internacional do Algarve,Esteban Ocon,6
Autódromo Internacional do Algarve,Fernando Alonso,13
Autódromo Internacional do Algarve,Charles Leclerc,8
Autódromo Internacional do Algarve,Carlos Sainz,5
Autódromo Internacional do Algarve,Lando Norris,7
Autódromo Internacional do Algarve,Daniel Ricciardo,16
Autódromo Internacional do Algarve,Nicholas Latifi,18
Autódromo Internacional do Algarve,Valtteri Bottas,1
Circuit de Barcelona-Catalunya,George Russell,15
Circuit de Barcelona-Catalunya,Pierre Gasly,12
Circuit de Barcelona-Catalunya,Nikita Mazepin,20
Circuit de Barcelona-Catalunya,Mick Schumacher,18
Circuit de Barcelona-Catalunya,Antonio Giovinazzi,14
Circuit de Barcelona-Catalunya,Kimi Räikkönen,17
Circuit de Barcelona-Catalunya,Lance Stroll,11
Circuit de Barcelona-Catalunya,Sebastian Vettel,13
Circuit de Barcelona-Catalunya,Max Verstappen,2
Circuit de Barcelona-Catalunya,Sergio Pérez,8
