race,driver,quali_pos
Hungaroring,George Russell,17
Hungaroring,Pierre Gasly,5
Hungaroring,Nikita Mazepin,19
Hungaroring,Mick Schumacher,20
Hungaroring,Antonio Giovinazzi,0
Hungaroring,Kimi Räikkönen,13
Hungaroring,Lance Stroll,12
Hungaroring,Sebastian Vettel,10
Hungaroring,Max Verstappen,3
Hungaroring,Sergio Pérez,4
Hungaroring,Yuki Tsunoda,16
Hungaroring,Lewis Hamilton,1
Hungaroring,Esteban Ocon,8
Hungaroring,Fernando Alonso,9
Hungaroring,Charles Leclerc,7
Hungaroring,Carlos Sainz,15
Hungaroring,Lando Norris,6
Hungaroring,Daniel Ricciardo,11
Hungaroring,Nicholas Latifi,18
Hungaroring,Valtteri Bottas,2
